1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,0,
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,0,
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,0,
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,0,
5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,0,
6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,0,
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,0,
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,0,
9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,0,
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,0,
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,0,
12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,0,
13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,0,
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,0,
15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,0,
16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,0,
17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,0,
18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,0,
19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,0,
20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,0,
21,22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,0,
22,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,0,
23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,0,
24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,0,
25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,0,
26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,0,
27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,0,
28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,0,
29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,
30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0,
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
